usuario_id,usuario_externo_id,username,email,nombre,apellido,nombre_completo,activo,created_at
1,1,admin,mmmjuanceron@gmail.com,Nancy,Ramirez,Nancy Ramirez,True,2025-10-05 04:10:55
2,2,sale,sale@example.com,Ellen,Rowell,Ellen Rowell,True,2025-10-05 04:19:20
3,3,marketing,marketing@example.com,Michael,Buckley,Michael Buckley,True,2025-10-05 04:19:20
4,4,thomas.rivera_bfd5c,thomas.rivera_bfd63@msn.com,Thomas,Rivera,Thomas Rivera,True,2025-10-05 04:19:49
5,5,william.wilkinson_e66c7,william.wilkinson_e66cd@example.com,William,Wilkinson,William Wilkinson,True,2025-10-05 04:19:49
6,6,leonard.butler_0ecac,leonard.butler_0ecb1@msn.com,Leonard,Butler,Leonard Butler,True,2025-10-05 04:19:50
7,7,jack.rivers_2b220,jack.rivers_2b225@msn.com,Jack,Rivers,Jack Rivers,True,2025-10-05 04:19:50
8,8,matthew.wagner_4964b,matthew.wagner_49652@yahoo.com,Matthew,Wagner,Matthew Wagner,True,2025-10-05 04:19:50
9,9,william.myers_6fcab,william.myers_6fcb2@gmail.com,William,Myers,William Myers,True,2025-10-05 04:19:50
10,10,micky.jacobs_8bc65,micky.jacobs_8bc6a@yahoo.com,Micky,Jacobs,Micky Jacobs,True,2025-10-05 04:19:50
11,11,gregory.rich_a591c,gregory.rich_a5921@hotmail.com,Gregory,Rich,Gregory Rich,True,2025-10-05 04:19:50
12,12,arnold.saunders_c58e6,arnold.saunders_c58ee@msn.com,Arnold,Saunders,Arnold Saunders,True,2025-10-05 04:19:50
13,13,francis.montgomery_e5d00,francis.montgomery_e5d07@hotmail.com,Francis,Montgomery,Francis Montgomery,True,2025-10-05 04:19:50
14,14,william.bruce_0e823,william.bruce_0e828@msn.com,William,Bruce,William Bruce,True,2025-10-05 04:19:51
15,15,dennis.cameron_2deb3,dennis.cameron_2deb7@msn.com,Dennis,Cameron,Dennis Cameron,True,2025-10-05 04:19:51
16,16,mike.kerr_4c0dc,mike.kerr_4c0e4@hotmail.com,Mike,Kerr,Mike Kerr,True,2025-10-05 04:19:51
17,17,thomas.ballard_6b9e5,thomas.ballard_6b9ed@aol.com,Thomas,Ballard,Thomas Ballard,True,2025-10-05 04:19:51
18,18,tim.ballard_89950,tim.ballard_89955@yahoo.com,Tim,Ballard,Tim Ballard,True,2025-10-05 04:19:51
19,19,matthias.perkins_a7025,matthias.perkins_a702a@aol.com,Matthias,Perkins,Matthias Perkins,True,2025-10-05 04:19:51
20,20,benedict.greene_c59e6,benedict.greene_c59eb@yahoo.com,Benedict,Greene,Benedict Greene,True,2025-10-05 04:19:51
21,21,theodore.kinney_ec556,theodore.kinney_ec55a@yahoo.com,Theodore,Kinney,Theodore Kinney,True,2025-10-05 04:19:51
22,22,eugene.keller_184ac,eugene.keller_184b3@yahoo.com,Eugene,Keller,Eugene Keller,True,2025-10-05 04:19:52
23,23,mat.mccarty_37e9f,mat.mccarty_37ea3@hotmail.com,Mat,Mccarty,Mat Mccarty,True,2025-10-05 04:19:52
24,24,gregory.cortez_5751c,gregory.cortez_57521@yahoo.com,Gregory,Cortez,Gregory Cortez,True,2025-10-05 04:19:52
25,25,oscar.butler_7ba1d,oscar.butler_7ba23@example.com,Oscar,Butler,Oscar Butler,True,2025-10-05 04:19:52
26,26,eugene.rivers_9f62d,eugene.rivers_9f633@gmail.com,Eugene,Rivers,Eugene Rivers,True,2025-10-05 04:19:52
27,27,oliver.byrd_bd25d,oliver.byrd_bd263@example.com,Oliver,Byrd,Oliver Byrd,True,2025-10-05 04:19:52
28,28,gregory.rich_daf65,gregory.rich_daf69@msn.com,Gregory,Rich,Gregory Rich,True,2025-10-05 04:19:52
29,29,david.hubbard_08ace,david.hubbard_08ad2@msn.com,David,Hubbard,David Hubbard,True,2025-10-05 04:19:53
30,30,james.fields_28c86,james.fields_28c8b@aol.com,James,Fields,James Fields,True,2025-10-05 04:19:53
31,31,john.dejesus_45f04,john.dejesus_45f09@example.com,John,Dejesus,John Dejesus,True,2025-10-05 04:19:53
32,32,harry.bradley_64051,harry.bradley_64057@aol.com,Harry,Bradley,Harry Bradley,True,2025-10-05 04:19:53
33,33,bobby.gates_865d2,bobby.gates_865da@gmail.com,Bobby,Gates,Bobby Gates,True,2025-10-05 04:19:53
34,34,timothy.stewart_a4129,timothy.stewart_a4132@example.com,Timothy,Stewart,Timothy Stewart,True,2025-10-05 04:19:53
35,35,leonard.wilkinson_c451a,leonard.wilkinson_c4520@yahoo.com,Leonard,Wilkinson,Leonard Wilkinson,True,2025-10-05 04:19:53
